Straße;Hausnummernbereich;PLZ;Stadtteil
"Am Milchbornbach";"8 - 20";"51429";"Bensberg"
"Am Milchbornbach";"21 - 31";"51429";"Bensberg"
"Am Milchbornbach";"39 - 43";"51429";"Bensberg"
"Am Milchbornbach";"40 - 42";"51429";"Bensberg"
"Am Milchbornsberg";"1 - 17";"51429";"Bensberg"
"Am Milchbornsberg";"2 - 28";"51429";"Bensberg"
"Am Milchbornsberg";"30 - 32";"51429";"Bensberg"
"Am Mühlenberg";"2 - 26";"51465";"Stadtmitte"
"Am Mühlenberg";"3 - 57";"51465";"Stadtmitte"
"Am Mühlenberg";"30 - 50";"51465";"Stadtmitte"
"Am Neuborner Weiher";"1 - 13";"51429";"Lückerath"
"Am Neuborner Weiher";"2 - 14";"51429";"Lückerath"
"Am Pangenfeld";"1 - 5";"51429";"Kaule"
"Am Pangenfeld";"2 - 4";"51429";"Kaule"
"Am Pützchen";"3 - 31";"51429";"Lückerath"
"Am Pützchen";"6 - 34";"51429";"Lückerath"
"Am Rabenhorst";"1 - 15";"51429";"Moitzfeld"
"Am Rabenhorst";"2 - 16";"51429";"Moitzfeld"
"Am Reiferbusch";"1 - 9";"51465";"Stadtmitte"
"Am Reiferbusch";"2 - 18";"51465";"Stadtmitte"
"Am Reiferbusch";"11 - 11";"51465";"Stadtmitte"
"Am Reiferbusch";"13 - 13";"51465";"Stadtmitte"
"Am Reiferbusch";"15 - 17";"51465";"Stadtmitte"
"Am Rittersteg";"1 - 1";"51427";"Kippekausen"
"Am Rittersteg";"2 - 72";"51427";"Kippekausen"
"Am Rodenbach";"2 - 60";"51469";"Gronau"
"Am Rodenbach";"3 - 63";"51469";"Gronau"
"Am Rothfeld";"1 - 5";"51429";"Bärbroich"
"Am Rothfeld";"2 - 12";"51429";"Bärbroich"
"Am Rothfeld";"7 - 17";"51429";"Bärbroich"
"Am Rothfeld";"14 - 16";"51429";"Bärbroich"
"Am Rübezahlwald";"1 - 1";"51469";"Heidkamp"
"Am Rübezahlwald";"4 - 4";"51469";"Heidkamp"
"Am Rübezahlwald";"5 - 15";"51469";"Heidkamp"
"Am Rübezahlwald";"6 - 6";"51469";"Heidkamp"
"Am Rübezahlwald";"8 - 12";"51469";"Heidkamp"
"Am Rübezahlwald";"14 - 16";"51469";"Heidkamp"
"Am Rübezahlwald";"18 - 22";"51469";"Heidkamp"
"Am Rübezahlwald";"25 - 25";"51469";"Heidkamp"
"Am Schild";"4 - 22";"51467";"Schildgen"
"Am Schild";"5 - 23";"51467";"Schildgen"
"Am Schild";"26 - 50";"51467";"Schildgen"
"Am Schild";"31 - 39";"51467";"Schildgen"
"Am Schloß";"1 - 7";"51429";"Bensberg"
"Am Stadion";"4 - 29";"51465";"Stadtmitte"
"Am Stadion";"32 - 32";"51465";"Stadtmitte"
"Am Steinberg";"1 - 11";"51465";"Stadtmitte"
"Am Steinberg";"2 - 10";"51465";"Stadtmitte"
"Am Steinboden";"3 - 13";"51427";"Refrath"
"Am Steinboden";"4 - 14";"51427";"Refrath"
"Am Steinernen Kreuz";"4 - 6";"51467";"Hebborn"
"Am Steinernen Kreuz";"11 - 11";"51467";"Hebborn"
"Am Stockbrunnen";"1 - 5";"51429";"Bensberg"
"Am Stockbrunnen";"2 - 6";"51429";"Bensberg"
"Am Stockbrunnen";"8 - 12";"51429";"Bensberg"
"Am Ufer";"1 - 11";"51427";"Refrath"
"Am Ufer";"2 - 26";"51427";"Refrath"
"Am Ufer";"17 - 31";"51427";"Refrath"
"Am Ufer";"30 - 32";"51427";"Refrath"
"Am Ufer";"33 - 37";"51427";"Refrath"
"Am Uhlenbruch";"1 - 11";"51429";"Kaule"
"Am Uhlenbruch";"4 - 14";"51429";"Kaule"
"Am Urnenfeld";"1 - 11";"51467";"Hebborn"
"Am Urnenfeld";"2 - 48";"51467";"Hebborn"
"Am Vogelherd";"1 - 35";"51467";"Hebborn"
"Am Vogelherd";"2 - 2";"51467";"Hebborn"
"Am Vogelherd";"6 - 20";"51467";"Hebborn"
"Am Vogelherd";"24 - 30";"51467";"Hebborn"
"Am Vogelherd";"30 - 44";"51467";"Hebborn"
"Am Vorend";"1 - 41";"51467";"Katterbach"
"Am Vorend";"2 - 36";"51467";"Katterbach"
"Am Vorend";"43 - 47";"51467";"Katterbach"
"Am Vorend";"48 - 54";"51467";"Katterbach"
"Am Wäldchen";"1 - 4";"51469";"Heidkamp"
"Am Wäldchen";"5 - 5";"51469";"Heidkamp"
"Am Wäldchen";"6 - 15";"51469";"Heidkamp"
"Am Wäldchen";"16 - 19";"51469";"Heidkamp"
"Am Wapelsberg";"1 - 49";"51469";"Paffrath"
"Am Wapelsberg";"2 - 60";"51469";"Paffrath"
"Am Weinberg";"1 - 5";"51429";"Moitzfeld"
"Am Wiesenhäuschen";"1 - 5";"51427";"Alt-Refrath"
"Am Wiesenhäuschen";"2 - 6";"51427";"Alt-Refrath"
"Am Wildberg";"1 - 3";"51465";"Stadtmitte"
"Am Wildberg";"2 - 2";"51465";"Stadtmitte"
"Am Winkel";"1 - 13";"51429";"Moitzfeld"
"Am Winkel";"2 - 2";"51429";"Moitzfeld"
"Am Winkel";"4 - 24";"51429";"Moitzfeld"
"Am Winkel";"13 - 17";"51429";"Moitzfeld"
"Am Zaarshäuschen";"1 - 35";"51427";"Refrath"
"Am Zaarshäuschen";"2 - 10";"51427";"Refrath"
"Am Zaarshäuschen";"12 - 16";"51427";"Refrath"
"Am Zaarshäuschen";"20 - 28";"51427";"Refrath"
"Am Zaarshäuschen";"32 - 32";"51427";"Refrath"
"Am Ziegelfeld";"2 - 20";"51429";"Moitzfeld"
"Am Ziegelfeld";"7 - 25";"51429";"Moitzfeld"
"Am Ziehenberg";"1 - 9";"51429";"Kaule"
"Am Ziehenberg";"2 - 8";"51429";"Kaule"
"Am Zubusch";"2 - 12";"51429";"Lückerath"
"Am Zubusch";"3 - 9";"51429";"Lückerath"
"Am Zuckerberg";"1 - 27";"51469";"Hand"
"Am Zuckerberg";"2 - 18";"51469";"Hand"
"Amselweg";"2 - 26";"51467";"Hebborn"
"Amselweg";"3 - 19";"51467";"Hebborn"
"Amselweg";"28 - 52";"51467";"Hebborn"
"An den Braken";"2 - 10";"51429";"Lückerath"
"An den Braken";"9 - 21";"51429";"Lückerath"
"An den Braken";"12 - 24";"51429";"Lückerath"
"An den Weihern";"1 - 49";"51467";"Schildgen"
"An den Weihern";"2 - 50";"51467";"Schildgen"
"An den Weihern";"54 - 76";"51467";"Schildgen"
"An den Weihern";"57 - 75";"51467";"Schildgen"
"An der Bahn";"1 - 5";"51427";"Frankenforst"
"An der Bahn";"7 - 7";"51427";"Frankenforst"
"An der Bahn";"8 - 18";"51427";"Frankenforst"
"An der Eiche";"1 - 7";"51469";"Heidkamp"
"An der Eiche";"8 - 11";"51469";"Heidkamp"
"An der Engelsfuhr";"3 - 103";"51467";"Hebborn"
"An der Engelsfuhr";"4 - 18";"51467";"Hebborn"
"An der Engelsfuhr";"22 - 116";"51467";"Hebborn"
"An der Engelsfuhr";"105 - 111";"51467";"Hebborn"
"An der Flora";"1 - 7";"51469";"Paffrath"
"An der Flora";"2 - 14";"51469";"Paffrath"
"An der Flora";"7 - 11";"51469";"Paffrath"
"An der Gohrsmühle";"6 - 10";"51465";"Stadtmitte"
"An der Gohrsmühle";"16 - 18";"51465";"Stadtmitte"
"An der Gohrsmühle";"25 - 25";"51465";"Stadtmitte"
"An der Jüch";"11 - 49";"51465";"Stadtmitte"
"An der Jüch";"14 - 32";"51465";"Stadtmitte"
"An der Jüch";"38 - 78";"51465";"Stadtmitte"
"An der Jüch";"51 - 73";"51465";"Stadtmitte"
"An der Kirche";"9 - 12";"51429";"Bensberg"
"An der Kittelburg";"2 - 18";"51469";"Hand"
"An der Kittelburg";"11 - 21";"51469";"Hand"
"An der Kittelburg";"22 - 54";"51469";"Hand"
"An der Kittelburg";"23 - 41";"51469";"Hand"
"An der Kittelburg";"45 - 55";"51469";"Hand"
"An der Lohe";"1 - 17";"51465";"Sand"
"An der Lohe";"2 - 14";"51465";"Sand"
"An der Lohe";"16 - 30";"51465";"Sand"
"An der Refrather Heide";"1 - 21";"51427";"Alt-Refrath"
"An der Refrather Heide";"2 - 10";"51427";"Alt-Refrath"
"An der Refrather Heide";"12 - 22";"51427";"Alt-Refrath"
"An der Schmitten";"1 - 17";"51429";"Kaule"
"An der Schmitten";"2 - 8";"51429";"Kaule"
"An der Schmitten";"16 - 40";"51429";"Kaule"
"An der Schmitten";"19 - 21";"51429";"Kaule"
"An der Schmitten";"23 - 23";"51429";"Kaule"
"An der Schmitten";"44 - 56";"51429";"Kaule"
"An der Strunde";"2 - 24";"51465";"Stadtmitte"
"An der Strunde";"9 - 25";"51465";"Stadtmitte"
"An der Tent";"1 - 9";"51469";"Heidkamp"
"An der Tent";"2 - 4";"51469";"Heidkamp"
"An der Tent";"11 - 11";"51469";"Heidkamp"
"An der Wallburg";"1 - 39";"51427";"Kippekausen"
"An der Wallburg";"2 - 22";"51427";"Kippekausen"
"An der Wallburg";"22 - 94";"51427";"Kippekausen"
"An der Wallburg";"43 - 95";"51427";"Kippekausen"
"An der Wallburg";"97 - 97";"51427";"Kippekausen"
"An der Wasserdelle";"1 - 23";"51427";"Lustheide"
"An der Wasserdelle";"2 - 6";"51427";"Lustheide"
"An der Wasserdelle";"177 - 227";"51427";"Lustheide"
"An der Wasserdelle";"180 - 196";"51427";"Lustheide"
"An der Wasserdelle";"200 - 220";"51427";"Lustheide"
"An der Wolfsmaar";"1 - 11";"51427";"Alt-Refrath"
"An der Wolfsmaar";"4 - 16";"51427";"Alt-Refrath"
"An der Zinkhütte";"2 - 4";"51469";"Heidkamp"
"An der Zinkhütte";"5 - 17";"51469";"Heidkamp"
"An der Zinkhütte";"8 - 12";"51469";"Heidkamp"
"An Vierhäuschen";"1 - 9";"51469";"Gronau"
"An Vierhäuschen";"4 - 10";"51469";"Gronau"
"Anemonenweg";"1 - 23";"51427";"Lustheide"
"Anemonenweg";"2 - 28";"51427";"Lustheide"
"Anna-Maria-Medici-Platz";"998 - 998";"51429";"Bensberg"
"Anna-Zanders-Straße";"7 - 7";"51469";"Heidkamp"
"Anna-Zanders-Straße";"12 - 12";"51469";"Heidkamp"
"Anne-Frank-Straße";"14 - 32";"51429";"Kaule"
"Anne-Frank-Straße";"21 - 25";"51429";"Kaule"
"Arnold-von-Lülsdorf-Str.";"1 - 11";"51429";"Herkenrath"
"Arnold-von-Lülsdorf-Str.";"2 - 14";"51429";"Herkenrath"
"Asselborner Hof";"1 - 15";"51429";"Herrenstrunden"
"Asselborner Hof";"2 - 24";"51429";"Herrenstrunden"
"Asselborner Mühle";"11 - 12";"51429";"Asselborn"
"Asselborner Weg";"8 - 28";"51429";"Herkenrath"
"Asselborner Weg";"23 - 35";"51429";"Herkenrath"
"Asselborner Weg";"37 - 41";"51429";"Herkenrath"
"Asselborner Weg";"61 - 61";"51429";"Asselborn"
"Asselborner Weg";"66 - 66";"51429";"Asselborn"
"Asselborner Weg";"68 - 78";"51429";"Asselborn"
"Asselborner Weg";"75 - 79";"51429";"Asselborn"
"Asselborner Weg";"99 - 123";"51429";"Herrenstrunden"
"Asselborner Weg";"100 - 100";"51429";"Herrenstrunden"
"Asselborner Weg";"104 - 112";"51429";"Herrenstrunden"
"Asternstraße";"1 - 3";"51427";"Refrath"
"Asternstraße";"2 - 4";"51427";"Refrath"
"Auelerberg";"1 - 11";"51429";"Moitzfeld"
"Auf dem Horn";"2 - 22";"51465";"Stadtmitte"
"Auf dem Horn";"3 - 21";"51465";"Stadtmitte"
"Auf dem Kamm";"1 - 41";"51427";"Refrath"
"Auf dem Kamm";"2 - 10";"51427";"Refrath"
"Auf dem Kamm";"12 - 30";"51427";"Refrath"
"Auf dem Kirchenfeld";"1 - 9";"51467";"Schildgen"
"Auf dem Kirchenfeld";"2 - 16";"51467";"Schildgen"
"Auf dem Krämersfeld";"1 - 23";"51467";"Schildgen"
"Auf dem Krämersfeld";"2 - 40";"51467";"Schildgen"
"Auf dem Lichmich";"1 - 3";"51467";"Schildgen"
"Auf dem Lichmich";"4 - 4";"51467";"Schildgen"
"Auf dem Schmillenberg";"1 - 5";"51427";"Kippekausen"
"Auf dem Schmillenberg";"2 - 18";"51427";"Kippekausen"
"Auf dem Schmillenberg";"7 - 25";"51427";"Kippekausen"
"Auf dem Schmillenberg";"20 - 26";"51427";"Kippekausen"
"Auf dem Sommerfeld";"7 - 29";"51429";"Herkenrath"
"Auf dem Sommerfeld";"12 - 24";"51429";"Herkenrath"
"Auf der Halde";"1 - 21";"51429";"Kaule"
"Auf der Halde";"4 - 24";"51429";"Kaule"
"Auf der Höhe";"1 - 15";"51429";"Moitzfeld"
"Auf der Höhe";"12 - 98";"51429";"Moitzfeld"
"Auf der Höhe";"17 - 25";"51429";"Moitzfeld"
"Auf der Höhe";"27 - 51";"51429";"Moitzfeld"
"Auf der Höhe";"53 - 81";"51429";"Moitzfeld"
"Auf der Kaule";"1 - 3";"51427";"Alt-Refrath"
"Auf der Kaule";"2 - 36";"51427";"Alt-Refrath"
"Auf der Kaule";"5 - 27";"51427";"Alt-Refrath"
"Auf der Kaule";"40 - 48";"51427";"Alt-Refrath"
"Auf der Kaule";"52 - 52";"51427";"Alt-Refrath"
"Auf der Kaule";"60 - 62";"51427";"Alt-Refrath"
"Auf der Kaule";"74 - 76";"51427";"Alt-Refrath"
"Auf der Kaule";"88 - 88";"51427";"Alt-Refrath"
"Auf der Wildbahn";"1 - 5";"51429";"Kaule"
"Auf der Wildbahn";"2 - 4";"51429";"Kaule"
"Auf'm Büchel";"1 - 43";"51469";"Paffrath"
"Auf'm Büchel";"8 - 30";"51469";"Paffrath"
"August-Clostermann-Straße";"2 - 52";"51469";"Hand"
"August-Kierspel-Straße";"1 - 171";"51469";"Hand"
"August-Kierspel-Straße";"2 - 96";"51469";"Hand"
"Bachstraße";"1 - 21";"51467";"Schildgen"
"Bachstraße";"2 - 22";"51467";"Schildgen"
"Badstraße";"8 - 14";"51469";"Paffrath"
"Badstraße";"11 - 15";"51469";"Paffrath"
"Ball";"1 - 19";"51429";"Herkenrath"
"Ball";"2 - 12";"51429";"Herkenrath"
"Ball";"14 - 28";"51429";"Herkenrath"
"Ball";"23 - 35";"51429";"Herkenrath"
"Ball";"40 - 44";"51429";"Herkenrath"
"Barbarastraße";"1 - 23";"51429";"Moitzfeld"
"Barbarastraße";"2 - 8";"51429";"Moitzfeld"
"Barbarastraße";"10 - 38";"51429";"Moitzfeld"
"Barbarastraße";"40 - 42";"51429";"Moitzfeld"
"Bärbroich";"1 - 1";"51429";"Bärbroich"
"Bärbroich";"3 - 23";"51429";"Bärbroich"
"Bärbroich";"4 - 48";"51429";"Bärbroich"
"Bärbroich";"25 - 43";"51429";"Bärbroich"
"Bärbroich";"45 - 47";"51429";"Bärbroich"
"Bärbroich";"54 - 54";"51429";"Bärbroich"
"Bärbroicher Straße";"1 - 1";"51429";"Herkenrath"
"Bärbroicher Straße";"2 - 10";"51429";"Herkenrath"
"Bärbroicher Straße";"9 - 25";"51429";"Herkenrath"
"Bärbroicher Straße";"33 - 41";"51429";"Bärbroich"
"Bärbroicher Straße";"52 - 56";"51429";"Bärbroich"
"Bärbroicher Straße";"55 - 55";"51429";"Bärbroich"
"Bärbroicher Straße";"58 - 58";"51429";"Bärbroich"
"Baumgarten";"1 - 4";"51429";"Bensberg"
"Bech";"1 - 5";"51429";"Asselborn"
"Bech";"6 - 16";"51429";"Asselborn"
"Bech";"17 - 17";"51429";"Asselborn"
"Beckershäuschen";"1 - 17";"51427";"Refrath"
"Beckershäuschen";"2 - 26";"51427";"Refrath"
"Beckershäuschen";"21 - 23";"51427";"Refrath"
"Beethovenstraße";"1 - 53";"51427";"Frankenforst"
"Beethovenstraße";"4 - 4";"51427";"Frankenforst"
"Beethovenstraße";"12 - 22";"51427";"Frankenforst"
"Beethovenstraße";"65 - 79";"51427";"Frankenforst"
"Belgischer Platz";"998 - 998";"51427";"Frankenforst"
"Beningsfeld";"2 - 42";"51427";"Refrath"
"Beningsfeld";"9 - 23";"51427";"Refrath"
"Beningsfeld";"25 - 35";"51427";"Refrath"
"Beningsfeld";"39 - 43";"51427";"Refrath"
"Beningsfeld";"44 - 52";"51427";"Refrath"
"Bensberger Straße";"55 - 55";"51465";"Stadtmitte"
"Bensberger Straße";"66 - 76";"51465";"Stadtmitte"
"Bensberger Straße";"85 - 89";"51465";"Stadtmitte"
"Bensberger Straße";"88 - 110";"51469";"Heidkamp"
"Bensberger Straße";"91 - 113";"51469";"Heidkamp"
"Bensberger Straße";"115 - 133";"51469";"Heidkamp"
"Bensberger Straße";"118 - 158";"51469";"Heidkamp"
"Bensberger Straße";"135 - 147";"51469";"Heidkamp"
"Bensberger Straße";"160 - 168";"51469";"Heidkamp"
"Bensberger Straße";"170 - 180";"51469";"Heidkamp"
"Berg";"1 - 3";"51429";"Asselborn"
"Bergmannsweg";"1 - 11";"51429";"Moitzfeld"
"Bergstraße";"2 - 26";"51465";"Stadtmitte"
"Bergstraße";"19 - 37";"51465";"Stadtmitte"
"Bergstraße";"28 - 42";"51465";"Stadtmitte"
"Bergstraße";"47 - 63";"51465";"Stadtmitte"
"Bernard-Eyberg-Straße";"2 - 2";"51427";"Alt-Refrath"
"Bernard-Eyberg-Straße";"3 - 3";"51427";"Alt-Refrath"
"Bernard-Eyberg-Straße";"5 - 13";"51427";"Alt-Refrath"
"Bernard-Eyberg-Straße";"30 - 38";"51427";"Refrath"
"Bernard-Eyberg-Straße";"31 - 57";"51427";"Refrath"
"Bernard-Eyberg-Straße";"40 - 48";"51427";"Refrath"
"Bernard-Eyberg-Straße";"52 - 66";"51427";"Refrath"
"Bernard-Eyberg-Straße";"61 - 65";"51427";"Refrath"
"Bernard-Eyberg-Straße";"70 - 90";"51427";"Refrath"
"Bernard-Eyberg-Straße";"73 - 85";"51427";"Refrath"
"Bertram-Blank-Straße";"1 - 1";"51427";"Refrath"
"Bertram-Blank-Straße";"4 - 8";"51427";"Refrath"
"Berzeliusstraße";"1 - 1";"51429";"Lückerath"
"Berzeliusstraße";"5 - 19";"51429";"Lückerath"
